AAAA001,000AAA001,Sedan,11111,Toyota,Yes,Amherst,3,1998,Yes
AAAA002,000AAA002,Coupe,11112,Volkswagen,Yes,Arlington,5,2021,Yes
AAAA003,000AAA003,Sports Car,11113,Porshe,Yes,Auburn,5,1994,Yes
AAAA004,000AAA004,Station Wagon,11114,Daimler,No,Berkley,6,2015,No
AAAA005,000AAA005,HatchBack,11115,Daimler,Yes,Berlin,5,1890,Yes
AAAA006,000AAA006,Convertible,11116,Honda,Yes,Blaclstone,8,2014,No
AAAA007,000AAA007,Sport-Utility Vehicle,11117,Bridgestone,Yes,Brookline,5,1990,Yes
AAAA008,000AAA008,Minivan,11118,Mercedes Benz,No,Select,3,2012,No
AAAA009,000AAA009,Minivan,11119,BMW,No,EastHampton,3,1908,No
AAAA010,000AAA010,Pickup Truck,11110,Lexus,No,Vermont,3,2012,No
AAAA011,000AAA011,Sports Car,11111,Daimler,No,Arlington,3,2021,No
AAAA013,000AAA013,Pickup Truck,11113,Lexus,No,Oxford,7,1998,No
AAAA014,000AAA014,Convertible,11114,Daimler,Yes,Waltham,3,1967,Yes
AAAA015,000AAA015,Sports Car,11115,Daimler,Yes,Auburn,4,1987,Yes
AAAA016,000AAA016,Minivan,11116,Volkswagen,No,Somerville,4,1930,No
AAAA001,000AAA001,Sedan,11111,Toyota,Yes,Amherst,3,1998,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AAAA016,000AAA016,Minivan,11116,Volkswagen,No,Somerville,4,1930,No
ABCD123,123ABC123,Sport-Utility Vehicle,23456,Mercedes Benz,Yes,Harvard,5,1999,Yes
